date,time,symbol,direction,entry,sl,tp,lot,score,ticket,status,net_pnl,note,pinned_swing,pinned_atr_entry,close_date,close_time,strategy,exit_by,exit_rule
2026-07-01,16:48:26,BTCUSDm,Short,58822.05,60899.13005,48462.3152,0.1,9.0,4678027021,Manual Cut,-1.76,,,,,,,,
2026-07-01,22:39:09,BTCUSDm,Short,60123.91,60899.13005,48462.3152,0.26,8.0,4680979540,Void,0.0,"account reset 2026-07-17 -- ticket not in MT5 history, never actually settled",,,,,,,
2026-07-02,06:38:36,BTCUSDm,Short,60087.08,60899.13005,48462.3152,0.25,8.0,4682361898,Void,0.0,"account reset 2026-07-17 -- ticket not in MT5 history, never actually settled",,,,,,,
2026-08-11,11:58:08,XAUUSDm,Long,4407.088000000001,4224.99434,4687.53977,0.01,9.0,4508082322,Manual Cut,-2.0,,4224.99434,19.165527777087203,2026-08-13,00:20:59,Scoring,,
2026-08-13,01:30:42,XAUUSDm,Long,4409.459000000001,4359.17394,4593.94872,0.03,8.0,4521099643,Manual Cut,-176.44,,4359.17394,21.621954579631403,2026-08-14,03:50:16,Scoring,,
2026-08-14,03:50:32,US500m,Long,7811.73,7708.82084,8378.33454,1.91,9.0,4529264620,Manual Cut,-59.92,,7708.82084,13.106073531522096,2026-08-18,09:05:32,Scoring,,
2026-08-19,19:14:31,USDJPYm,Short,159.104,159.58267,156.49283,0.64,8.0,4557032005,Manual Cut,243.89,auto-reconciled from MT5 history,159.58267,0.1320017597880835,2026-08-19,20:05:43,Scoring,,
2026-08-19,19:14:33,GBPUSDm,Long,1.35575,1.35169,1.36475,0.49,8.0,4557032227,Manual Cut,206.78,auto-reconciled from MT5 history,1.35169,0.0010348717754459,2026-08-19,20:05:40,Scoring,,
2026-08-19,20:06:32,USDJPYm,Short,158.514,159.58604,156.49283,0.3,8.0,4557928170,Manual Cut,-32.02,auto-reconciled from MT5 history,159.58604,0.1883488608218905,2026-08-24,08:19:16,Scoring,,
2026-08-28,14:22:33,ETHUSDm,Long,2497.2000000000003,2408.82374,2701.91872,2.33,7.0,4618490267,Stop Loss,-205.93,auto-reconciled from MT5 history,2408.82374,18.95184439070725,2026-08-28,23:25:10,Scoring,,
2026-08-30,20:55:44,ETHUSDm,Long,2474.92,2383.4745745643468,2652.0686,2.2,6.0,4626774595,Stop Loss,-181.51,auto-reconciled from MT5 history,2400.42815,8.47678771782667,2026-09-02,16:33:12,Scoring,,
2026-09-07,13:47:34,USDJPYm,Short,155.738,157.37437256261532,148.79429,0.18,6.0,4667969118,Manual Cut,230.43,auto-reconciled from MT5 history,156.81439,0.2799912813076607,2026-09-10,07:26:27,Scoring,,
2026-09-09,14:09:32,XAUUSDm,Long,4403.747,4327.044787159008,4735.28267,0.02,2.0,4680782427,Manual Cut,-18.61,auto-reconciled from MT5 history,4360.70562,16.830416420496007,2026-09-10,07:26:24,Scoring,,
2026-09-15,12:12:51,XAUUSDm,Long,4301.31,4215.418450052732,4432.54249,0.02,0.0,4711242417,Bot Exit,-7.71,,4249.25405,16.9177999736337,2026-09-17,01:49:22,Scoring,bot,ออก 100% ทันที — ข่าวสงบแล้วแต่ไม่กำไร
2026-09-17,12:50:03,XAUUSDm,Short,4298.309,4413.367741545578,4120.59622,0.01,4.0,4726514804,Open,,,4365.60938,23.87918077278873,,,Scoring,,
2026-09-21,07:13:25,UKOILm,Long,99.95,97.01758375266276,106.69157,0.06,2.0,4741691609,Stop Loss,-178.32,auto-reconciled from MT5 history,98.49836,0.7403881236686255,2026-09-21,17:38:29,Scoring,broker,
2026-09-21,07:13:27,HK50m,Long,24755.700000000004,24177.42324537194,25618.2442,0.36,8.0,4741691730,Open,,,24280.42078,51.49876731403023,,,Reversal,,
